geo_code1,origin_bicycle,origin_all,origin_ratio,destination_bicycle,destination_all,destination_ratio
E02000824,138,2895,4.77%,112,2516,4.45%
E02000825,155,3113,4.98%,30,856,3.50%
E02000826,344,3275,10.50%,61,1268,4.81%
E02000827,277,3728,7.43%,163,2913,5.60%
E02000828,152,2833,5.37%,66,1971,3.35%
E02000829,280,3751,7.46%,34,798,4.26%
E02000830,488,3864,12.63%,301,3825,7.87%
E02000831,521,3889,13.40%,85,1762,4.82%
E02000832,288,3415,8.43%,37,906,4.08%
E02000833,206,2870,7.18%,48,814,5.90%
E02000834,445,4468,9.96%,69,1330,5.19%
E02000835,320,2798,11.44%,15,414,3.62%
E02000836,392,3739,10.48%,76,1541,4.93%
E02000837,415,3516,11.80%,142,1583,8.97%
E02000838,387,3888,9.95%,20,625,3.20%
E02000839,157,2985,5.26%,97,1533,6.33%
E02000840,70,2656,2.64%,12,570,2.11%
E02000841,72,2830,2.54%,75,3415,2.20%
E02000842,62,2725,2.28%,55,1602,3.43%
E02000843,123,3010,4.09%,53,1639,3.23%
E02000844,60,2714,2.21%,30,836,3.59%
E02000845,102,3174,3.21%,20,932,2.15%
E02000846,66,2378,2.78%,17,643,2.64%
E02000847,76,2815,2.70%,28,1276,2.19%
E02000848,66,2655,2.49%,33,1324,2.49%
E02000849,66,2762,2.39%,23,739,3.11%
E02000850,99,3781,2.62%,142,4945,2.87%
E02000851,67,2867,2.34%,231,8007,2.88%
E02000852,79,2763,2.86%,5,720,0.69%
E02000853,73,2618,2.79%,23,653,3.52%
E02000854,103,2605,3.95%,39,1459,2.67%
E02000855,61,2402,2.54%,17,1360,1.25%
E02000856,69,3002,2.30%,73,2478,2.95%
E02000857,62,2824,2.20%,30,1324,2.27%
E02000858,50,2345,2.13%,23,1103,2.09%
E02000859,61,2653,2.30%,22,1101,2.00%
E02000860,50,2574,1.94%,73,2135,3.42%
E02000861,58,2463,2.35%,38,1712,2.22%
E02000863,31,1970,1.57%,21,676,3.11%
E02000864,351,2919,12.02%,77,1667,4.62%
E02000865,264,2458,10.74%,182,2158,8.43%
E02000866,563,3967,14.19%,100,1098,9.11%
E02000867,365,4530,8.06%,106,2336,4.54%
E02000868,472,2722,17.34%,166,1690,9.82%
E02000869,319,2248,14.19%,175,1171,14.94%
E02000870,259,2468,10.49%,126,1570,8.03%
E02000871,113,2647,4.27%,63,1453,4.34%
E02000872,382,3016,12.67%,165,1738,9.49%
E02000873,230,2565,8.97%,316,4152,7.61%
E02000874,157,2138,7.34%,42,784,5.36%
E02000875,185,2905,6.37%,42,1822,2.31%
E02000876,254,2558,9.93%,122,2572,4.74%
E02000877,185,2980,6.21%,88,1766,4.98%
E02000878,323,4040,8.00%,1416,17580,8.05%
E02000879,200,2419,8.27%,52,987,5.27%
E02000880,175,1980,8.84%,108,2905,3.72%
E02000881,81,1852,4.37%,47,867,5.42%
E02000882,181,2472,7.32%,57,1308,4.36%
E02000883,61,2126,2.87%,41,1122,3.65%
E02000884,281,4267,6.59%,474,10039,4.72%
E02000885,125,2022,6.18%,80,1507,5.31%
E02000886,186,3206,5.80%,56,920,6.09%
E02000887,106,2629,4.03%,73,1866,3.91%
E02000888,187,3316,5.64%,31,1087,2.85%
E02000889,238,3049,7.81%,321,5441,5.90%
E02000890,230,3316,6.94%,269,4658,5.78%
E02000891,162,6021,2.69%,356,10344,3.44%
E02000893,134,2704,4.96%,22,596,3.69%
E02000894,213,5123,4.16%,19,462,4.11%
E02000895,30,2181,1.38%,18,745,2.42%
E02000896,45,2956,1.52%,18,1342,1.34%
E02000897,49,2500,1.96%,5,789,0.63%
E02000898,40,2540,1.57%,15,600,2.50%
E02000899,35,2720,1.29%,17,1356,1.25%
E02000900,66,2621,2.52%,25,1548,1.61%
E02000901,98,3441,2.85%,38,1909,1.99%
E02000902,75,2769,2.71%,12,508,2.36%
E02000903,68,2615,2.60%,22,853,2.58%
E02000904,85,2801,3.03%,47,1657,2.84%
E02000905,125,3196,3.91%,86,2153,3.99%
E02000906,173,3154,5.49%,29,778,3.73%
E02000907,93,2820,3.30%,30,1620,1.85%
E02000908,149,3929,3.79%,120,2692,4.46%
E02000909,172,3254,5.29%,46,1329,3.46%
E02000910,122,3864,3.16%,46,1805,2.55%
E02000911,149,3826,3.89%,64,3001,2.13%
E02000912,135,2911,4.64%,21,667,3.15%
E02000913,93,2954,3.15%,138,4227,3.26%
E02000914,87,3105,2.80%,58,1845,3.14%
E02000915,108,3296,3.28%,33,1100,3.00%
E02000916,178,3156,5.64%,160,3369,4.75%
E02000917,131,3331,3.93%,19,805,2.36%
E02000918,121,3364,3.60%,53,2125,2.49%
E02000919,129,3467,3.72%,6,463,1.30%
E02000920,94,3253,2.89%,67,2864,2.34%
E02000921,104,3393,3.07%,23,1022,2.25%
E02000922,130,3452,3.77%,23,721,3.19%
E02000923,429,3530,12.15%,355,2827,12.56%
E02000924,404,4990,8.10%,465,8502,5.47%
E02000925,333,3071,10.84%,38,869,4.37%
E02000926,501,4405,11.37%,193,2866,6.73%
E02000927,374,3397,11.01%,72,1110,6.49%
E02000928,448,3914,11.45%,137,1318,10.39%
E02000929,146,2680,5.45%,11,335,3.28%
E02000930,472,5437,8.68%,191,3347,5.71%
E02000931,492,4575,10.75%,51,732,6.97%
E02000932,511,5752,8.88%,535,8078,6.62%
E02000933,339,3899,8.69%,88,1650,5.33%
E02000934,424,5145,8.24%,261,4726,5.52%
E02000935,108,2017,5.35%,162,2107,7.69%
E02000936,312,4191,7.44%,88,1250,7.04%
E02000937,421,3557,11.84%,96,1022,9.39%
E02000938,253,3525,7.18%,58,1180,4.92%
E02000939,385,3294,11.69%,68,951,7.15%
E02000940,311,3568,8.72%,180,3535,5.09%
E02000941,487,4613,10.56%,128,1346,9.51%
E02000942,349,4264,8.18%,32,893,3.58%
E02000943,412,4517,9.12%,137,2488,5.51%
E02000944,131,2804,4.67%,25,883,2.83%
E02000945,135,2484,5.43%,45,1114,4.04%
E02000946,282,3719,7.58%,157,1929,8.14%
E02000947,396,4414,8.97%,124,1520,8.16%
E02000948,452,5553,8.14%,26,546,4.76%
E02000949,438,4697,9.33%,231,3672,6.29%
E02000950,201,3151,6.38%,28,642,4.36%
E02000951,269,3299,8.15%,29,820,3.54%
E02000952,244,2971,8.21%,26,613,4.24%
E02000953,264,3606,7.32%,73,1203,6.07%
E02000954,170,2695,6.31%,27,746,3.62%
E02000955,155,2509,6.18%,9,681,1.32%
E02000956,134,3005,4.46%,484,8272,5.85%
E02000957,261,4520,5.77%,86,2496,3.45%
E02000958,278,2944,9.44%,20,615,3.25%
E02000959,193,2632,7.33%,21,480,4.38%
E02000960,100,2290,4.37%,198,2979,6.65%
E02000961,142,3187,4.46%,41,1196,3.43%
E02000962,100,2863,3.49%,74,1914,3.87%
