id,lat,lon,date,borough,severity,casualties_num
364141,51.495186,-0.065672,2019-10-02 07:30:00+00:00,Southwark,Slight,1
364147,51.511045,-0.061050999999999994,2019-09-23 05:00:00+00:00,Tower Hamlets,Serious,1
364151,51.389161,-0.316038,2019-10-02 14:45:00+00:00,Kingston,Slight,1
364156,51.515179,-0.062,2019-10-02 18:36:00+00:00,Tower Hamlets,Slight,1
364157,51.544134,-0.271414,2019-10-02 16:20:00+00:00,Brent,Slight,1
364159,51.359571,-0.09777699999999999,2019-10-02 16:31:00+00:00,Croydon,Slight,1
364162,51.523414,-0.09865499999999999,2019-10-02 18:07:00+00:00,Islington,Slight,1
736875,51.565784,-0.351724,2019-10-24 18:44:00+00:00,Harrow,Slight,1
736876,51.463413,-0.24381599999999998,2019-10-25 15:20:00+00:00,Wandsworth,Slight,1
736890,51.53097,-0.12003799999999999,2019-10-24 15:29:00+00:00,Camden,Slight,1
736893,51.511829,-0.138884,2019-10-25 00:00:00+00:00,City of Westminster,Slight,1
736899,51.439496,0.048063999999999996,2019-10-25 06:00:00+00:00,Greenwich,Slight,1
736901,51.543351,-0.057558,2019-10-25 09:40:00+00:00,Hackney,Slight,1
736902,51.547472,-0.105527,2019-10-14 19:05:00+00:00,Islington,Slight,1
736909,51.428123,-0.13752599999999998,2019-10-24 18:30:00+00:00,Lambeth,Slight,1
736912,51.451631,-0.142139,2019-10-25 07:01:00+00:00,Lambeth,Slight,1
736918,51.571927,-0.027247999999999998,2019-10-25 11:06:00+00:00,Waltham Forest,Slight,1
736920,51.517485,-0.125336,2019-10-25 13:35:00+00:00,Camden,Slight,1
736922,51.460365,0.120531,2019-10-01 17:29:00+00:00,Bexley,Slight,1
724231,51.450231,-0.122608,2019-04-27 14:35:00+00:00,Lambeth,Slight,1
724238,51.475885,-0.032561,2019-04-27 18:20:00+00:00,Lewisham,Slight,1
724241,51.474044,-0.064593,2019-04-27 18:30:00+00:00,Southwark,Slight,1
724247,51.490878,-0.18198699999999998,2019-04-27 16:50:00+00:00,Kensington and Chelsea,Slight,1
724253,51.470607,-0.36699099999999996,2019-04-27 09:04:00+00:00,Hounslow,Slight,1
741387,51.442222,-0.164235,2019-12-22 20:45:00+00:00,Wandsworth,Serious,1
741400,51.536734,-0.098287,2019-12-19 15:28:00+00:00,Islington,Slight,1
741408,51.456659,-0.019771,2019-12-23 11:45:00+00:00,Lewisham,Serious,1
741411,51.482206,-0.1731,2019-12-20 08:15:00+00:00,Kensington and Chelsea,Slight,1
741412,51.457051,-0.267653,2019-12-23 12:50:00+00:00,Richmond upon Thames,Slight,1
741422,51.571606,0.180889,2019-12-17 16:25:00+00:00,Havering,Slight,1
741424,51.470309,-0.355973,2019-12-23 10:03:00+00:00,Hounslow,Serious,2
741428,51.393703,-0.240809,2019-12-23 11:00:00+00:00,Merton,Slight,1
369597,51.550456,-0.08663699999999999,2019-12-13 17:15:00+00:00,Islington,Slight,1
369598,51.502749,-0.251209,2019-12-12 17:20:00+00:00,Hammersmith and Fulham,Serious,1
369613,51.54342,0.0019909999999999997,2019-12-13 16:20:00+00:00,Newham,Slight,1
369625,51.455412,-0.12154699999999999,2019-12-13 19:42:00+00:00,Lambeth,Serious,1
369630,51.623975,-0.31962399999999996,2019-12-13 14:00:00+00:00,Harrow,Slight,1
369634,51.499873,-0.082734,2019-12-13 23:45:00+00:00,Southwark,Slight,1
369645,51.528456,-0.189991,2019-12-13 17:10:00+00:00,City of Westminster,Slight,1
732162,51.48878,-0.070379,2019-08-19 17:32:00+00:00,Southwark,Slight,1
732164,51.518144,0.013408,2019-08-19 19:58:00+00:00,Newham,Slight,1
732169,51.391996,0.000117,2019-08-19 19:08:00+00:00,Bromley,Serious,1
732174,51.517886,-0.167205,2019-08-19 21:40:00+00:00,City of Westminster,Slight,1
732184,51.439771,-0.020284999999999997,2019-08-20 06:00:00+00:00,Lewisham,Slight,1
732189,51.565558,0.176285,2019-08-02 16:47:00+00:00,Havering,Slight,1
732191,51.481086,-0.06081,2019-08-20 08:00:00+00:00,Southwark,Slight,1
732192,51.401814,-0.269122,2019-08-19 12:20:00+00:00,Kingston,Serious,2
732193,51.461414,-0.071404,2019-08-20 09:10:00+00:00,Southwark,Slight,1
732203,51.464726,-0.300517,2019-08-20 08:08:00+00:00,Richmond upon Thames,Slight,1
732204,51.525572,-0.033201999999999995,2019-08-15 22:18:00+00:00,Tower Hamlets,Slight,1
732211,51.490191,-0.223413,2019-08-18 18:15:00+00:00,Hammersmith and Fulham,Serious,1
732214,51.508906,-0.132101,2019-08-20 13:00:00+00:00,City of Westminster,Slight,1
730458,51.430274,-0.316009,2019-07-24 11:45:00+00:00,Richmond upon Thames,Serious,1
730460,51.512626,-0.057165,2019-07-24 13:30:00+00:00,Tower Hamlets,Slight,1
730461,51.511485,-0.176526,2019-07-24 09:15:00+00:00,City of Westminster,Slight,1
730466,51.459762,-0.12811899999999998,2019-07-24 16:20:00+00:00,Lambeth,Slight,1
730471,51.480118,-0.179924,2019-07-24 16:15:00+00:00,Kensington and Chelsea,Serious,1
730473,51.474577,-0.122761,2019-07-23 07:50:00+00:00,Lambeth,Serious,1
730477,51.523108,-0.131101,2019-07-24 17:45:00+00:00,Camden,Slight,1
730478,51.470777,-0.20746599999999998,2019-07-23 15:50:00+00:00,Hammersmith and Fulham,Slight,1
730487,51.531937,-0.061187,2019-07-24 17:38:00+00:00,Tower Hamlets,Slight,1
730492,51.518485,-0.132184,2019-07-24 18:30:00+00:00,Camden,Slight,1
730494,51.455874,-0.19564199999999998,2019-07-24 17:14:00+00:00,Wandsworth,Slight,1
730497,51.5074,-0.109942,2019-07-24 20:00:00+00:00,Lambeth,Serious,1
730503,51.541077,-0.25679199999999996,2019-07-24 14:30:00+00:00,Brent,Slight,1
364170,51.485072,0.004274,2019-10-02 20:30:00+00:00,Greenwich,Slight,1
364191,51.430636,-0.036433,2019-10-02 22:30:00+00:00,Lewisham,Slight,1
364193,51.498641,-0.07015,2019-10-02 11:10:00+00:00,Southwark,Slight,1
364198,51.477499,-0.101515,2019-10-03 08:04:00+00:00,Lambeth,Slight,1
364200,51.524147,-0.157569,2019-10-03 08:10:00+00:00,City of Westminster,Slight,1
364204,51.4178,-0.301568,2019-09-18 08:10:00+00:00,Kingston,Slight,1
364208,51.490484,0.018038,2019-09-30 19:30:00+00:00,Greenwich,Slight,1
364225,51.556882,0.06677899999999999,2019-10-03 13:30:00+00:00,Redbridge,Slight,1
